school,district,ncesid,title_1_school_status,lat,long,total_enroll,bipoc_enroll,bipoc_pct,white_enroll
NORTH LAKES ACADEMY UPPER SCHOOL,NORTH LAKES ACADEMY,2700177,2-Title I targeted assistance school,45.27549,-93.003951,210,28,0.13333333333333333,182
NORTH METRO FLEX ACADEMY,North Metro Flex Academy,2700423,2-Title I targeted assistance school,45.013694,-92.994049,237,184,0.7763713080168776,53
NORTH PARK ELEMENTARY,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,2709510,5-Title I schoolwide school,45.0692,-93.2407,422,329,0.7796208530805687,93
NORTH SENIOR HIGH,North St. Paul-Maplewood Oakdale,2723850,5-Title I schoolwide school,45.0149,-92.9985,1672,1090,0.6519138755980861,582
NORTH SHORE COMMUNITY SCHOOL,NORTH SHORE COMMUNITY SCHOOL,2700208,2-Title I targeted assistance school,46.9406,-91.8987,336,16,0.047619047619047616,320
NORTH STAR ACADEMY,DULUTH PUBLIC SCHOOLS ACADEMY,2700133,5-Title I schoolwide school,46.827603,-92.134072,985,219,0.22233502538071065,766
NORTH TRAIL ELEMENTARY,FARMINGTON PUBLIC SCHOOL DISTRICT,2711820,2-Title I targeted assistance school,44.7016,-93.1788,594,173,0.29124579124579125,421
NORTH VIEW MIDDLE SCHOOL,OSSEO PUBLIC SCHOOL DISTRICT,2725200,5-Title I schoolwide school,45.079278,-93.354154,638,595,0.932601880877743,43
NORTH WOODS ELEMENTARY,ST. LOUIS COUNTY SCHOOL DISTRICT,2700008,2-Title I targeted assistance school,47.887636,-92.774013,250,52,0.208,198
NORTH WOODS ELEMENTARY SCHOOL,WAYZATA PUBLIC SCHOOL DISTRICT,2742160,2-Title I targeted assistance school,45.052595,-93.520659,563,214,0.38010657193605685,349
NORTH WOODS SECONDARY,ST. LOUIS COUNTY SCHOOL DISTRICT,2700008,2-Title I targeted assistance school,47.887636,-92.774013,307,112,0.36482084690553745,195
NORTHDALE MIDDLE,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,2703180,5-Title I schoolwide school,45.1753,-93.271,1300,511,0.3930769230769231,789
